State,District,Latitude,Longitude
Andaman and Nicobar Islands,Andaman Islands,12.3825710692351,92.8229105064151
Andaman and Nicobar Islands,Nicobars,7.8352907497742,93.5116012375786
Andaman and Nicobar Islands,North and Middle Andaman,13.1103460431143,92.8801650228283
Andaman and Nicobar Islands,South Andaman,11.8072502594448,92.6587485825472
Telangana,Adilabad,19.2845139500734,78.8132123348018
Andhra Pradesh,Anantapur,14.3120655618431,77.4601584478577
Andhra Pradesh,Chittoor,13.331092630677,78.9276389888604
Andhra Pradesh,Cuddapah,14.4902891341256,78.6961387096775
Andhra Pradesh,East Godavari,16.7827183207849,82.2432074720511
Andhra Pradesh,Guntur,15.8849257676349,80.5865761410789
Telangana,Hyderabad,17.3897155555556,78.4666888888889
Telangana,Karimnagar,18.5154831932773,79.4376542857141
Telangana,Khammam,17.6839213250518,80.6700864389233
Andhra Pradesh,Krishna,16.1438727531517,81.1480506100041
Andhra Pradesh,Kurnool,15.4375971514243,77.9008683658172
Telangana,Mahabubnagar,16.6395462242563,77.9893308924486
Telangana,Medak,17.8893049780381,78.1377890190338
Telangana,Nalgonda,17.1132505154639,79.1698445360824
Andhra Pradesh,S.P.S. Nellore,13.8943440714219,80.147026718125
Telangana,Nizamabad,18.4294858490566,78.0752349056604
Andhra Pradesh,Prakasam,15.4890390016017,80.1166579017619
Telangana,Ranga Reddy,17.2452358725762,78.0575682825485
Andhra Pradesh,Srikakulam,18.5709009986974,84.2587481401067
Andhra Pradesh,Visakhapatnam,17.6468390339893,83.0101403577817
Andhra Pradesh,Vizianagaram,18.2832969603297,83.4598285419887
Telangana,Warangal Rural,18.0175260869565,79.8742202898551
Andhra Pradesh,West Godavari,16.6329794392524,81.459129906542
Andhra Pradesh,Y.S.R. Kadapa,14.484120136844,78.6892015230059
Arunachal Pradesh,Changlang,27.3604847933885,96.3755264462811
Arunachal Pradesh,East Kameng,27.3711940559441,93.04741486014
Arunachal Pradesh,East Siang,28.1538235294118,95.0649922600619
Arunachal Pradesh,Kurung Kumey,28.0485335180055,93.2453199445983
Arunachal Pradesh,Lohit,27.9467852739726,96.5967077054794
Arunachal Pradesh,Lower Dibang Valley,28.3265173010381,95.7656733564014
Arunachal Pradesh,Lower Subansiri,27.708492972973,93.9622610810811
Arunachal Pradesh,Papum Pare,27.2735297169811,93.5446818396227
Arunachal Pradesh,Tawang,27.6806839622641,91.8250424528302
Arunachal Pradesh,Tirap,26.944062295082,95.4147032786886
Arunachal Pradesh,Upper Dibang Valley,29.0199478365385,95.9877639423076
Arunachal Pradesh,Upper Siang,28.8309244897959,95.0015576530612
Arunachal Pradesh,Upper Subansiri,28.2771965665236,93.8991435622318
Arunachal Pradesh,West Kameng,27.4648658227848,92.6501575045208
Arunachal Pradesh,West Siang,28.1062969202898,94.5351034420291
Assam,Barpeta,26.4278722646311,90.9791201017812
Assam,Bongaigaon,26.4501252199413,90.6734296187684
Assam,Cachar,24.815570668693,92.8684965045593
Assam,Darrang,26.5846321596244,92.0414133802816
Assam,Dhemaji,27.5865334384858,94.7133690851735
Assam,Dhubri,26.0450614844534,89.9850082246739
Assam,Dibrugarh,27.3061228448276,95.0998282327587
Assam,Goalpara,26.0172777777778,90.5986989159891
Assam,Golaghat,26.3772197097945,93.8258339782347
Assam,Hailakandi,24.4574960893855,92.5915466480448
Assam,Jorhat,26.7624482401656,94.3019772256729
Assam,Kamrup Metropolitan,26.1709394520548,91.5886327397259
Assam,West Karbi Anglong,26.0896645459803,93.1153657027183
Assam,Karimganj,24.6966071225071,92.3679498575498
Assam,Kokrajhar,26.4972466357309,90.1399747099769
Assam,Lakhimpur,27.1412880597015,94.0775949253732
Assam,Morigaon,26.2465004672897,92.2194995327103
Assam,Nagaon,26.2646217062635,92.9306191144708
Assam,Nalbari,26.4632376760563,91.4059852112677
Assam,North Cachar Hills,25.3382998531571,92.9774020558004
Assam,Sivasagar,27.0276286956522,94.9002584782608
Assam,Sonitpur,26.7351492682927,92.8519780487804
Assam,Tinsukia,27.5354929113924,95.6905594936709
Bihar,Araria,26.2115281191806,87.3076655493482
Bihar,Aurangabad,24.7742918674699,84.4598602409638
Bihar,Banka,24.8323556420233,86.8664916342413
Bihar,Begusarai,25.5430261316872,86.1256014403293
Bihar,Bhabua,25.0215664259928,83.6112810469313
Bihar,Bhagalpur,25.2771928853755,87.0421381422924
Bihar,Bhojpur,25.5066643939394,84.494078030303
Bihar,Buxar,25.4859301886792,84.08808081761
Bihar,Darbhanga,26.1461877192983,85.973873524721
Bihar,Gaya,24.7266541547278,84.9429121776504
Bihar,Gopalganj,26.4487436416185,84.3463612716763
Bihar,Jamui,24.7841838046273,86.2631629820051
Bihar,Jehanabad,25.1556790456432,84.9208124481328
Bihar,Katihar,25.5656535603715,87.7046608359133
Bihar,Khagaria,25.5355889145496,86.5659325635104
Bihar,Kishanganj,26.3243367583213,87.9504500723589
Bihar,Lakhisarai,25.183449321267,86.1282570135747
Bihar,Madhepura,25.7734192946058,86.8978443983403
Bihar,Madhubani,26.4138053817272,86.1632836045055
Bihar,Munger,25.198537962963,86.541736728395
Bihar,Muzaffarpur,26.1866441717792,85.3274509202454
Bihar,Nalanda,25.2293455089821,85.4805311377246
Bihar,Nawada,24.8257088362069,85.6159456896552
Bihar,West Champaran,27.1606435220126,84.3026591194969
Bihar,Patna,25.4029711450382,85.3198433587787
Bihar,East Champaran,26.6812933673469,85.0038215561224
Bihar,Purnia,25.8171480190174,87.4044760697307
Bihar,Rohtas,24.9917046082949,83.9350762672811
Bihar,Saharsa,25.8212706967213,86.5467081967214
Bihar,Samastipur,25.7932055639098,85.9483332330827
Bihar,Saran,25.8965607784431,84.8226628742516
Bihar,Sheikhpura,25.1247243654822,85.7783939086294
Bihar,Sheohar,26.4583807486631,85.2953941176471
Bihar,Sitamarhi,26.5657006968641,85.611724912892
Bihar,Siwan,26.1736372013652,84.3376655290102
Bihar,Supaul,26.281578937729,86.7849646520146
Bihar,Vaishali,25.8134703180212,85.3924759717315
Bihar,Arwal,25.2451277332392,84.6649543694664
Bihar,Kaimur,24.9077781521748,83.5317118940732
Chandigarh,Chandigarh,30.7426,76.7587246575342
Chhattisgarh,Bastar,19.393866751269,81.5289512690355
Chhattisgarh,Bilaspur,22.3569429824561,81.9977035087719
